2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8410>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b0b90>
2025-09-07 04:10:51|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909e7b10>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4f990>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f97e10>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f48e90>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8410>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8650>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f90a29e10>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909e71d0>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f90a08110>
2025-09-07 04:10:52|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77c10>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8a8610>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a97f990>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4d910>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909e71d0>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72fa04d0>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2350>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5afe7090>
2025-09-07 04:10:53|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f908b7c10>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8a85d0>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4fcd0>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8410>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a97f990>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8b90>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f908b7c10>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b06d0>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4fcd0>
2025-09-07 04:10:54|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f73574350>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2c50>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8aa350>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10710>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f6d7d0>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4fcd0>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8aa350>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2990>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2350>
2025-09-07 04:10:55|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2550>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77050>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8b90>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f5fed0>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f73574350>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f735471d0>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77050>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f7355f810>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4fcd0>
2025-09-07 04:10:56|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b0b90>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f90a29e10>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f7355f810>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b063010>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77c10>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8b90>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8aa350>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2350>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f48e90>
2025-09-07 04:10:57|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b063010>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2550>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f5ea50>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8a50>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f88ad0>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10750>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4c650>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2690>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f5ea50>
2025-09-07 04:10:58|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77050>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10350>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b90d0>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4c650>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f77050>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10910>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2550>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8b90>
2025-09-07 04:10:59|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10350>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f909e5210>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f4c650>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10910>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10350>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10950>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8ba550>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f5fed0>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b1390>
2025-09-07 04:11:00|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2350>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8ba550>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8b90>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10950>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8350>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8ba550>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b012450>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f59c10850>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f88ad0>
2025-09-07 04:11:01|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f908b7d90>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f5fed0>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b0b90>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b012550>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b012390>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b9550>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b0b90>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8b90>
2025-09-07 04:11:02|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f908b7d90>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f5ea50>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b0b90>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2550>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2350>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5b012450>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8f50>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8ba350>
2025-09-07 04:11:03|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b90d0>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2550>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b1390>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8ba750>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f5ea50>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8350>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f73545dd0>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b8e90>
2025-09-07 04:11:04|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f717d7b90>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b90d0>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8ba550>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f73545dd0>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f717d7b90>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b0610>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2c90>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b0490>
2025-09-07 04:11:05|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2c90>
2025-09-07 04:11:06|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f72f48e90>
2025-09-07 04:11:06|picamera2.picamera2| DEBUG   | Execute job: <picamera2.job.Job object at 0x7f5a8b2210>
